"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"QG" 0 0 8.65128199289672e-06 8.51274359810334e-06 0 280 -Inf 0
"QH" 0 0 4.40674501104713e-06 4.34600938149132e-06 0 280 -Inf 0
"QJ" 0 0 4.32647402380423e-06 4.09321718338113e-06 0 280 -Inf 0
"QK" 0 0 3.68015431375875e-07 3.61228118229271e-07 0 280 -Inf 0
"QQ" 0 0 4.46166406640819e-05 4.41850468035201e-05 0 280 -Inf 0
"QU" 0.000229888467014713 0.00019803931656599 0.000798491185598013 0.000661970397699257 0.00255874713098018 280 -3.03392692424633 0.00241392893820672
"RA" 0.00044876807552394 0.000326161106748964 0.000519680442852399 0.000364159039802812 0.00226205006830481 280 -0.281084420919979 0.778645649972677
"RB" 0.000408496732026144 0.000370325471520154 0.000206096961728785 0.000189563860307716 0.004372354682112 280 0.691782919862706 0.489073664432103
"RE" 0 0 1.16051008286607e-06 1.15033308733573e-06 0 280 -Inf 0
"RO" 0.00132827372829106 0.000745783165736627 0.000797921533570232 0.000417599759950061 0.0060272886053945 280 0.91111594273976 0.362234287116328
"RP" 4.20168067226891e-05 3.16538419938176e-05 8.10880023253885e-05 6.26542627156829e-05 0.000529385110071868 280 -0.979884485991766 0.327143141789864
"RQ" 0 0 1.96786425369409e-05 1.60327313618497e-05 0 280 -Inf 0
"RT" 0.104087652950109 0.0464008948524958 0.0975849160276244 0.0450144045071477 0.0544355580366224 280 0.426199745522126 0.669962302909619
"RU" 0.334197861528698 0.116528575174176 0.324858879605778 0.1185269504981 0.0329875294800787 280 -1.01369261529517 0.310729448900047
"RX" 0.0345851594044698 0.014384876216142 0.0159316081230218 0.00723296493122073 0.0202722079397737 280 5.90337106169047 3.56147993912293e-09
"RY" 0.000356299739868957 0.000335719272532386 8.40983616613309e-05 7.99128710499846e-05 0.00293080291315808 280 1.46050756051169 0.144150631192381
"RZ" 0 0 0.000286408747594171 0.00023742841557439 0 280 -Inf 0
"SA" 0.00113423164940159 0.000888505892457645 0.00207602450297354 0.00157157548585221 0.00660976377971401 280 -1.72925097834236 0.0837641860967396
"SD" 0.000353958710732724 0.000308952513383341 0.00126187985194498 0.00108307011410867 0.00350455545968615 280 -3.69617921481746 0.000218868499917374
"SI" 0 0 2.20382306488025e-05 2.15251497758129e-05 0 280 -Inf 0
"SR" 0 0 5.62329784692731e-06 5.53865010226745e-06 0 280 -Inf 0
"SU" 0.00670752299639334 0.00565376791972862 0.00679952263136635 0.00571653302157831 0.0240634704703856 280 -0.0436454515931937 0.965187021063487
"SY" 0.000514736722495434 0.000494154309198632 0.000513184341670073 0.000496579348590864 0.00540462936957456 280 -0.00750813194952094 0.994009433720472
"TA" 0 0 2.59362443044125e-05 2.42276204270723e-05 0 280 -Inf 0
"TC" 0.0107596316467487 0.00891446464782236 0.00381355868996116 0.00324581875379289 0.0285890285653029 280 3.31786679164537 0.000907077325170278
"TD" 0.00332211949201801 0.00253064837785451 0.00438465717754354 0.00335316409258594 0.0134114941291354 280 -1.02623318936092 0.304781680660383
"TE" 7.44047619047619e-05 7.34016613229952e-05 1.56695189955547e-05 1.54211269451846e-05 0.00122790739385354 280 0.790124657182166 0.429454971175348
"TI" 8.30564784053156e-05 7.03201814677404e-05 0.000181143053900622 0.000147334439702465 0.00117575128731243 280 -1.09606091072975 0.273052119477807
"TM" 0.00473545379502253 0.00311268642693455 0.00661419692541075 0.00415681760093815 0.0154784326894654 280 -1.12877425418074 0.258993076080171
"TQ" 0.00268405146956311 0.00196808515561566 0.00553757712903277 0.00399974076358875 0.0167452600448594 280 -2.03019246081722 0.0423369798873662
"TU" 0.0184239176876744 0.0103749407703295 0.0367580610613026 0.0193468075387814 0.0252168976106251 280 -5.95347009331578 2.6251584513744e-09
"UA" 3.7593984962406e-05 3.36872510782171e-05 0.000105434154201285 9.50714335641011e-05 0.000563617708895163 280 -1.82243002435416 0.0683897623526734
"UB" 0.000951070373801695 0.000920925752846388 0.000177383590796998 0.000172644336555554 0.00889621312299681 280 1.4074688655794 0.159288403165895
"UE" 0.000166416387285031 0.000150762698410207 0.000372503950917326 0.000343768393318823 0.00149171173162424 280 -2.16503157279113 0.030385267472902
"UF" 0.000585178943989729 0.000565943099076974 0.000334529931474968 0.000324764553968723 0.00702501774591699 280 0.574473845470349 0.56564719433731
"UH" 0.000196050642479214 0.000188603798510919 0.000134748841994561 0.000129574050251008 0.00235807802982399 280 0.418882073627759 0.67530231883137
"UI" 0.00165669644282305 0.00160889960229811 0.000711037899186005 0.000693387721329997 0.0122120250034895 280 1.25445566055454 0.209676432288422
"UK" 5.95238095238095e-05 5.80486144006111e-05 8.85722210431201e-05 8.66715950535531e-05 0.000970744288498749 280 -0.493388506866412 0.621738101631068
"UM" 0.0408673744037904 0.0199477553318221 0.0334237833280423 0.0159162987798834 0.031012029889762 280 2.17525815479078 0.0296107763990424
"UN" 6.37755102040816e-05 6.31367702517875e-05 1.07839097848258e-05 1.07092158366618e-05 0.00105632120332281 280 0.830505700919291 0.406252925945392
"UP" 0.000105042016806723 0.000104446512450424 2.70015356391194e-05 2.69104662922906e-05 0.001747271780101 280 0.742544018335391 0.45775779230248
"UQ" 0 0 3.34204898087583e-06 3.29186542088988e-06 0 280 -Inf 0
"UR" 0.00183082532270062 0.00176032329016308 0.000652350302495757 0.000630607446094367 0.0171977729548719 280 1.099198239859 0.271681606328509
"UT" 0 0 6.86678413343636e-07 6.86073891253714e-07 0 280 -Inf 0
"UU" 0 0 1.7104494596442e-05 1.69154778424499e-05 0 280 -Inf 0
"UY" 0 0 4.83168933836667e-05 4.60309838355141e-05 0 280 -Inf 0
"VE" 0.0276976333219187 0.0149577342831359 0.0441980664328542 0.0236998391856256 0.0312251457873502 280 -4.68479460079495 2.80240821185074e-06
"VI" 0.0173198475228691 0.00801326370159217 0.0146558175148657 0.00708704064191421 0.0160548567158813 280 0.965357490758644 0.334365785405602
"VJ" 0.00487247450646212 0.003036634224568 0.00553039770394389 0.00348919434114318 0.00781006273110349 280 -0.969618227608161 0.332236823836008
"VM" 0 0 2.33613000922393e-06 2.30106869065219e-06 0 280 -Inf 0
"VP" 0 0 9.69784394116877e-05 7.79594225292099e-05 0 280 -Inf 0
"VS" 0.00157123326880952 0.0011999427309502 0.000709869563601449 0.000557623630055539 0.00495749578412882 280 2.16804104087526 0.0301555640794961
